ITS_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
reverse_FUN_ITS_1363	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis cucurbitacearum
reverse_FUN_ITS_1364	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium spinulosum
reverse_FUN_ITS_1365	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium spinulosum
reverse_FUN_ITS_1367	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
reverse_FUN_ITS_1370	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
reverse_FUN_ITS_1371	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis sp.
reverse_FUN_ITS_1372	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Melnikomyces	Melnikomyces thailandicus
reverse_FUN_ITS_1374	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Cephaliophora	Cephaliophora tropica
reverse_FUN_ITS_1376	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
reverse_FUN_ITS_1379	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
reverse_FUN_ITS_1381	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neonectria	Dactylonectria ecuadoriensis
reverse_FUN_ITS_1382	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala pisciphila
reverse_FUN_ITS_1384	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
reverse_FUN_ITS_1386	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
reverse_FUN_ITS_1387	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
reverse_FUN_ITS_1388	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium spinulosum
reverse_FUN_ITS_1389	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium spinulosum
reverse_FUN_ITS_1390	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium limoniforme
reverse_FUN_ITS_1409	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
reverse_FUN_ITS_1413	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus japonicus
reverse_FUN_ITS_1450	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces funiculosus
reverse_FUN_ITS_1451	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Angustimassarina	Lophiostoma corticola
reverse_FUN_ITS_1452	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Angustimassarina	Lophiostoma corticola
reverse_FUN_ITS_1453	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Angustimassarina	Lophiostoma corticola
reverse_FUN_ITS_1454	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Angustimassarina	Lophiostoma corticola
reverse_FUN_ITS_1456	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora calospora
reverse_FUN_ITS_1460	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis cucurbitacearum
reverse_FUN_ITS_1480	Eukaryota	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta fasciculata
reverse_FUN_ITS_1484	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium aphidis
reverse_FUN_ITS_1485	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium cladosporioides
reverse_FUN_ITS_1489	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
reverse_FUN_ITS_1490	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
reverse_FUN_ITS_1493	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia grandispora
reverse_FUN_ITS_1494	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Allophoma	Stagonosporopsis cucurbitacearum
reverse_FUN_ITS_1495	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis dorenboschii
